[[-0.787  0.259 -0.104  0.   ]
 [-0.787  0.259 -0.104  0.   ]
 [-0.787  0.259 -0.104  0.   ]
 [-0.787  0.259 -0.104  0.   ]
 [-0.796  0.275 -0.1    0.   ]
 [-0.81   0.298 -0.093  0.   ]
 [-0.824  0.322 -0.087  0.   ]
 [-0.839  0.346 -0.08   0.   ]
 [-0.854  0.371 -0.073  0.   ]
 [-0.869  0.396 -0.066  0.   ]
 [-0.881  0.412 -0.061  0.   ]
 [-0.895  0.434 -0.054  0.   ]
 [-0.91   0.459 -0.047  0.   ]
 [-0.915  0.473 -0.044  0.   ]
 [-0.929  0.502 -0.036  0.   ]
 [-0.943  0.532 -0.028  0.   ]
 [-0.956  0.559 -0.021  0.   ]
 [-0.97   0.584 -0.014  0.   ]
 [-0.984  0.612 -0.006  0.   ]
 [-0.999  0.64   0.002  0.   ]
 [-1.012  0.664  0.009  0.   ]
 [-1.026  0.687  0.016  0.   ]
 [-0.788  0.     0.     0.   ]
 [-1.     0.208  0.     0.   ]
 [-1.     0.326  0.     0.   ]
 [-1.     0.295  0.     0.   ]
 [-1.     0.271  0.     0.   ]
 [-1.     0.271  0.     0.   ]
 [-1.     0.271  0.     0.   ]
 [-1.     0.278  0.     0.   ]
 [-1.     0.219  0.     0.   ]
 [-1.     0.222  0.     0.   ]
 [-1.     0.312  0.     0.   ]
 [-1.     0.372  0.     0.   ]
 [-1.     0.465  0.     0.   ]
 [-1.     0.552  0.     0.   ]
 [-1.     0.622  0.     0.   ]
 [-1.     0.635  0.     0.   ]
 [-1.     0.635  0.     0.   ]
 [-1.     0.635  0.     0.   ]
 [-1.     0.635  1.     1.   ]
 [-1.     0.635  1.     1.   ]
 [-1.     0.639  1.     1.   ]
 [-1.     0.639  1.     1.   ]
 [-1.     0.639  1.     1.   ]
 [-1.     0.628  1.     1.   ]
 [-1.     0.628  1.     1.   ]
 [-1.     0.628  1.     1.   ]
 [-1.     0.67   1.     1.   ]
 [-1.     0.705  1.     1.   ]
 [-1.     0.858  0.     1.   ]
 [-1.     1.     0.     1.   ]
 [-1.     1.     0.     1.   ]
 [-0.933  1.     0.     1.   ]
 [ 0.     0.399  0.     1.   ]
 [ 0.     0.09   0.     1.   ]
 [ 0.188  0.09   0.     1.   ]
 [ 0.516  0.09   0.     1.   ]
 [ 1.    -0.535  0.     1.   ]
 [ 1.    -0.548  0.     1.   ]
 [ 1.    -0.573  0.     1.   ]
 [ 1.    -0.639  0.     1.   ]
 [ 1.    -0.703  0.     1.   ]
 [ 1.    -0.771  0.     1.   ]
 [ 1.    -0.863  0.     0.   ]
 [ 0.991 -1.     0.     0.   ]
 [ 0.835 -1.     0.     0.   ]
 [ 0.281 -1.     0.     0.   ]
 [ 0.    -0.941  0.     0.   ]
 [-0.584 -0.672  0.     0.   ]
 [-1.    -0.564  0.     0.   ]
 [-1.    -0.491  0.     0.   ]
 [-1.    -0.482  0.     0.   ]
 [-1.    -0.476  0.     0.   ]
 [-1.    -0.458  0.     0.   ]
 [-1.    -0.425  0.     0.   ]
 [-1.    -0.392  0.     0.   ]
 [-1.    -0.359  0.     0.   ]
 [-1.    -0.355  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.352  0.     0.   ]
 [-1.    -0.357  0.     0.   ]
 [-1.    -0.357  0.     0.   ]
 [-1.    -0.474  0.     0.   ]
 [-1.    -0.639  0.     0.   ]
 [-1.    -0.863  0.     0.   ]
 [-1.    -1.     0.     0.   ]
 [-1.    -1.     0.     0.   ]
 [-1.    -1.     0.     0.   ]
 [ 0.     0.09   0.     0.   ]
 [ 0.     0.09   0.     0.   ]
 [ 0.     0.09   0.     0.   ]]
