[[-0.854   0.6485  0.4305 -0.1986]
 [-0.854   0.6485  0.4305 -0.1986]
 [-0.854   0.6485  0.4305 -0.1986]
 [-0.854   0.6485  0.4305 -0.1986]
 [-0.8562  0.6472  0.4233 -0.1808]
 [-0.8591  0.6461  0.4146 -0.1581]
 [-0.8621  0.6448  0.4052 -0.134 ]
 [-0.8651  0.6429  0.3954 -0.1097]
 [-0.8681  0.6406  0.3856 -0.0856]
 [-0.8709  0.6379  0.3757 -0.062 ]
 [-0.8738  0.6353  0.3657 -0.0382]
 [-0.8765  0.6328  0.3561 -0.0151]
 [-0.8792  0.6305  0.3468  0.0071]
 [-0.8817  0.6282  0.3379  0.0282]
 [-0.884   0.6258  0.3294  0.0482]
 [-0.8862  0.6233  0.3212  0.0671]
 [-0.8883  0.6208  0.3133  0.0851]
 [-0.8902  0.6184  0.3058  0.1022]
 [-0.8921  0.6159  0.2986  0.1184]
 [-0.8938  0.6135  0.2916  0.1339]
 [-0.8955  0.6111  0.285   0.1486]
 [-0.897   0.6088  0.2786  0.1626]
 [-0.8985  0.6064  0.2724  0.176 ]
 [-0.8999  0.6041  0.2665  0.1887]
 [-0.9012  0.6017  0.2608  0.2009]
 [-0.9025  0.5994  0.2553  0.2125]
 [-0.9037  0.5971  0.25    0.2236]
 [-0.9047  0.5946  0.245   0.2337]
 [-0.9055  0.5915  0.2403  0.2423]
 [-0.906   0.5877  0.236   0.2491]
 [-0.9063  0.5834  0.2322  0.2542]
 [-0.9063  0.5786  0.2288  0.2575]
 [-0.9061  0.5735  0.226   0.259 ]
 [-0.9056  0.5681  0.2238  0.2587]
 [-0.9048  0.5625  0.2221  0.2566]
 [-0.9046  0.5587  0.2202  0.2572]
 [-0.905   0.5573  0.2174  0.2624]
 [-0.9064  0.5588  0.214   0.2725]
 [-0.9084  0.5626  0.21    0.2868]
 [-0.9109  0.5678  0.2056  0.3038]
 [-0.9135  0.5737  0.2012  0.3213]
 [-0.916   0.5792  0.1969  0.3382]
 [-0.9185  0.5841  0.1922  0.3553]
 [-0.9208  0.5883  0.1877  0.3713]
 [-0.9229  0.5916  0.1833  0.386 ]
 [-0.9247  0.5942  0.179   0.3993]
